Variable,Value
pCostCurtail,2500
pTempDevPenalty,1
pPV_Cap,0
pLoadTime,8
pFlexWindow,12
pNumCycles,170
pMaxLoad,2
pTotal_SL_kWh,3
pDeadband_HVAC,1
pCapacitance_HVAC,2
pResistance_HVAC,4
pCOP_HVAC,3
pMaxPower_HVAC,5
pDeadband_WH,3
pCapacitance_WH,0.4
pResistance_WH,120
pCOP_WH,1
pMaxPower_WH,4
pBatt_DischargeEff,1
pBatt_ChargeEff,1
pBatt_CDeg,0.1
pBatt_InitialSOC,0.5
pBatt_SOCMax,1
pBatt_SOCMin,0.1
pBatt_NominalE,0
pBatt_DischargeCapacity,2.5
pBatt_ChargeCapacity,2.5
