pMonth,pWeek,pHour,pBuy_Energy,pSell_Energy,pBuy_NetworkConnection,pBuy_FirmCapacity,pSell_FirmCapacity,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen,pOutdoorTemp,pSetPoint,pSell_PrimaryUpCap,pSell_PrimaryDownCap,pSell_PrimaryEnergy,pBuy_PrimaryEnergy,pD2CPrimaryUp,pD2CPrimaryDown,pMonthly_Network_Cost,pHP_Month,pAC_Month
1,1,49,0.13013,0,0.05,0,0,0.679603538,0,0,-3,18,0.65065,0.65065,0,0,0,0,,,
1,1,50,0.15683,0,0.05,0,0,0.55528963,0,0,-3,18,0.78415,0.78415,0,0,0,0,,,
1,1,51,0.16672,0,0.05,0,0,0.50723171,0,0,-3,18,0.8336,0.8336,0,0,0,0,,,
1,1,52,0.20428,0,0.05,0,0,0.494926073,0,0,-3,18,1.0214,1.0214,0,0,0,0,,,
1,1,53,0.18722,0,0.05,0,0,0.491704696,0.00000761,0,-3,20,0.9361,0.9361,0,0,0,0,,,
1,1,54,0.13081,0,0.05,0,0,0.545170476,0.027888613,0,-2,20,0.65405,0.65405,0,0,0,0,,,
1,1,55,0.16494,0,0.05,0,0,0.761138161,0.107280194,0,-2,20,0.8247,0.8247,0,0,0,0,,,
1,1,56,0.19966,0,0.05,0,0,1.05426809,0.232245258,0,-2,20,0.9983,0.9983,0,0,0,0,,,
1,1,57,0.36675,0,0.05,0,0,1.025724443,0.340959516,0,-1,17,1.83375,1.83375,0,0,0,0,,,
1,1,58,0.69864,0,0.05,0,0,0.855001485,0.459732129,0,-1,17,3.4932,3.4932,0,0,0,0,,,
1,1,59,0.92887,0,0.05,0,0,0.846771932,0.513976226,0,-1,17,4.64435,4.64435,0,0,0,0,,,
1,1,60,0.53268,0,0.05,0,0,0.863123401,0.522277516,0,-1,17,2.6634,2.6634,0,0,0,0,,,
1,1,61,0.18196,0,0.05,0,0,0.847889702,0.510755903,0,-1,17,0.9098,0.9098,0,0,0,0,,,
1,1,62,0.16637,0,0.05,0,0,0.825919768,0.49442371,0,-1,17,0.83185,0.83185,0,0,0,0,,,
1,1,63,0.16351,0,0.05,0,0,0.828777896,0.385888935,0,-1,17,0.81755,0.81755,0,0,0,0,,,
1,1,64,0.16471,0,0.05,0,0,0.899129955,0.307433548,0,-1,17,0.82355,0.82355,0,0,0,0,,,
1,1,65,0.19989,0,0.05,0,0,1.155948151,0.194586258,0,-1,20,0.99945,0.99945,0,0,0,0,,,
1,1,66,0.21035,0,0.05,0,0,1.6300657,0.087847871,0,-1,20,1.05175,1.05175,0,0,0,0,,,
1,1,67,0.181,0,0.05,0,0,1.929091883,0.01736629,0,-1,20,0.905,0.905,0,0,0,0,,,
1,1,68,0.26138,0,0.05,0,0,1.920909364,0,0,-1,20,1.3069,1.3069,0,0,0,0,,,
1,1,69,0.22126,0,0.05,0,0,1.771053202,0,0,-1,20,1.1063,1.1063,0,0,0,0,,,
1,1,70,0.24159,0,0.05,0,0,1.605316809,0,0,0,18,1.20795,1.20795,0,0,0,0,,,
1,1,71,0.17183,0,0.05,0,0,1.293373742,0,0,1,18,0.85915,0.85915,0,0,0,0,,,
1,1,72,0.14475,0,0.05,0,0,0.985602467,0,0,1,18,0.72375,0.72375,0,0,0,0,,,
1,1,73,0.13768,0,0.05,0,0,0.679603538,0,0,0,18,0.6884,0.6884,0,0,0,0,,,
1,1,74,0.1458,0,0.05,0,0,0.55528963,0,0,0,18,0.729,0.729,0,0,0,0,,,
1,1,75,0.15948,0,0.05,0,0,0.50723171,0,0,-1,18,0.7974,0.7974,0,0,0,0,,,
1,1,76,0.1166,0,0.05,0,0,0.494926073,0,0,-1,18,0.583,0.583,0,0,0,0,,,
1,1,77,0.14057,0,0.05,0,0,0.491704696,0.00000761,0,-2,20,0.70285,0.70285,0,0,0,0,,,
1,1,78,0.13254,0,0.05,0,0,0.545170476,0.027888613,0,-2,20,0.6627,0.6627,0,0,0,0,,,
