"Buy_Energy","Sell_Energy","Power_Consumed","Power_Produced","Power_Purchased","Power_Export","Batt_Discharge","Batt_Charge","x9"
61.0,0.3,0.1,3.6666666666666643,2.5537795149999996,1.1128871516666647,0.0,0.0,0.0
62.0,0.3,0.1,3.6666666666666665,2.4721185500000002,1.1945481166666663,0.0,0.0,0.0
63.0,0.3,0.1,3.6666666666666665,1.929444675,1.7372219916666665,0.0,0.0,0.0
64.0,0.3,0.1,3.841666666666664,3.841666666666664,0.0,0.0,2.304498926666664,0.0
65.0,0.3,0.1,4.016666666666667,3.168432363333336,0.8482343033333303,0.0,2.195501073333336,0.0
66.0,0.3,0.1,4.683333333333334,0.439239355,4.244093978333333,0.0,0.0,0.0
67.0,0.3,0.1,5.18333333333333,0.08683145,5.09650188333333,0.0,0.0,0.0
68.0,0.3,0.1,5.55,0.0,5.55,0.0,0.0,0.0
69.0,0.3,0.1,5.35,0.0,5.35,0.0,0.0,0.0
70.0,0.3,0.1,3.85,0.0,3.85,0.0,0.0,0.0
71.0,0.3,0.1,5.8500000000000005,0.0,5.8500000000000005,0.0,0.0,2.5000000000000004
72.0,0.3,0.1,3.5807291666666665,0.0,3.5807291666666665,0.0,0.0,0.0
73.0,0.3,0.1,3.9999999999999964,0.500000000000001,3.4999999999999956,0.0,0.500000000000001,0.0
74.0,0.3,0.1,3.75,0.0,3.75,0.0,0.0,0.0
75.0,0.3,0.1,6.0,0.0,6.0,0.0,0.0,2.5000000000000004
76.0,0.3,0.1,3.13333333333333,1.9999999999999996,1.1333333333333306,0.0,1.9999999999999996,0.0
77.0,0.3,0.1,5.9,2.5000380500000006,3.3999619499999993,0.0,2.5000000000000004,0.0
78.0,0.3,0.1,3.7666666666666666,0.139443065,3.6272236016666666,0.0,0.0,0.0
79.0,0.3,0.1,5.196785536666663,0.53640097,4.6603845666666635,0.0,0.0,1.3467855366666663
80.0,0.3,0.1,4.35,1.16122629,3.1887737099999995,0.0,0.0,0.0
81.0,0.3,0.1,4.833333333333333,1.7047975800000001,3.128535753333333,0.0,0.0,0.0
82.0,0.3,0.1,4.58333333333333,2.298660645,2.2846726883333304,0.0,0.0,0.0
83.0,0.3,0.1,3.9166666666666665,3.9166666666666665,0.0,0.0,1.3467855366666663,0.0
84.0,0.3,0.1,3.6666666666666665,2.61138758,1.0552790866666664,0.0,0.0,0.0
85.0,0.3,0.1,3.6666666666666643,2.5537795149999996,1.1128871516666647,0.0,0.0,0.0
86.0,0.3,0.1,3.6666666666666665,2.4721185500000002,1.1945481166666663,0.0,0.0,0.0
87.0,0.3,0.1,3.6666666666666665,1.929444675,1.7372219916666665,0.0,0.0,0.0
88.0,0.3,0.1,3.841666666666664,1.5371677400000001,2.304498926666664,0.0,0.0,0.0
89.0,0.3,0.1,4.016666666666667,0.97293129,3.0437353766666666,0.0,0.0,0.0
90.0,0.3,0.1,4.683333333333334,0.439239355,4.244093978333333,0.0,0.0,0.0
91.0,0.3,0.1,5.18333333333333,0.08683145,5.09650188333333,0.0,0.0,0.0
92.0,0.3,0.1,8.05,0.0,8.05,0.0,0.0,2.500000000000001
93.0,0.3,0.1,5.35,0.0,5.35,0.0,0.0,0.0
94.0,0.3,0.1,5.849999999999999,0.0,5.849999999999999,0.0,0.0,1.999999999999999
95.0,0.3,0.1,3.35,0.0,3.35,0.0,0.0,0.0
96.0,0.3,0.1,3.5807291666666665,0.0,3.5807291666666665,0.0,0.0,0.0
97.0,0.3,0.1,3.9999999999999964,0.0,3.9999999999999964,0.0,0.0,0.0
98.0,0.3,0.1,3.75,1.9999999999999996,1.7500000000000004,0.0,1.9999999999999996,0.0
99.0,0.3,0.1,3.5,0.0,3.5,0.0,0.0,0.0
100.0,0.3,0.1,3.13333333333333,0.0,3.13333333333333,0.0,0.0,0.0
101.0,0.3,0.1,5.9,2.5000380500000006,3.3999619499999993,0.0,2.5000000000000004,0.0
102.0,0.3,0.1,3.7666666666666666,0.139443065,3.6272236016666666,0.0,0.0,0.0
103.0,0.3,0.1,3.8499999999999965,0.53640097,3.3135990299999967,0.0,0.0,0.0
104.0,0.3,0.1,4.35,1.16122629,3.1887737099999995,0.0,0.0,0.0
105.0,0.3,0.1,4.833333333333333,1.7047975800000001,3.128535753333333,0.0,0.0,0.0
106.0,0.3,0.1,4.58333333333333,2.298660645,2.2846726883333304,0.0,0.0,0.0
107.0,0.3,0.1,3.9166666666666665,2.56988113,1.3467855366666663,0.0,0.0,0.0
108.0,0.3,0.1,3.6666666666666665,2.61138758,1.0552790866666664,0.0,0.0,0.0
109.0,0.3,0.1,3.6666666666666643,2.5537795149999996,1.1128871516666647,0.0,0.0,0.0
110.0,0.3,0.1,3.6666666666666665,2.4721185500000002,1.1945481166666663,0.0,0.0,0.0
111.0,0.3,0.1,6.166666666666667,1.929444675,4.237221991666667,0.0,0.0,2.5000000000000004
112.0,0.3,0.1,3.841666666666664,3.841666666666664,0.0,0.0,2.304498926666664,0.0
113.0,0.3,0.1,4.016666666666667,0.97293129,3.0437353766666666,0.0,0.0,0.0
114.0,0.3,0.1,4.683333333333334,0.439239355,4.244093978333333,0.0,0.0,0.0
115.0,0.3,0.1,5.18333333333333,0.08683145,5.09650188333333,0.0,0.0,0.0
116.0,0.3,0.1,5.55,0.0,5.55,0.0,0.0,0.0
117.0,0.3,0.1,5.35,0.0,5.35,0.0,0.0,0.0
118.0,0.3,0.1,3.85,0.0,3.85,0.0,0.0,0.0
119.0,0.3,0.1,3.35,0.0,3.35,0.0,0.0,0.0
120.0,0.3,0.1,6.080729166666667,0.0,6.080729166666667,0.0,0.0,2.5000000000000004
121.0,0.3,0.1,3.9999999999999964,0.0,3.9999999999999964,0.0,0.0,0.0
122.0,0.3,0.1,5.554498926666663,0.0,5.554498926666663,0.0,0.0,1.8044989266666633
123.0,0.3,0.1,3.5,0.0,3.5,0.0,0.0,0.0
124.0,0.3,0.1,3.13333333333333,0.0,3.13333333333333,0.0,0.0,0.0
125.0,0.3,0.1,5.9,3.805e-5,5.89996195,0.0,0.0,0.0
126.0,0.3,0.1,3.7666666666666666,0.139443065,3.6272236016666666,0.0,0.0,0.0
127.0,0.3,0.1,3.8499999999999965,0.53640097,3.3135990299999967,0.0,0.0,0.0
128.0,0.3,0.1,4.35,1.16122629,3.1887737099999995,0.0,0.0,0.0
129.0,0.3,0.1,4.833333333333333,1.7047975800000001,3.128535753333333,0.0,0.0,0.0
130.0,0.3,0.1,4.58333333333333,4.58333333333333,0.0,0.0,2.2846726883333304,0.0
131.0,0.3,0.1,3.9166666666666665,2.56988113,1.3467855366666663,0.0,0.0,0.0
132.0,0.3,0.1,3.6666666666666665,2.61138758,1.0552790866666664,0.0,0.0,0.0
133.0,0.3,0.1,3.6666666666666643,2.5537795149999996,1.1128871516666647,0.0,0.0,0.0
134.0,0.3,0.1,3.6666666666666665,2.4721185500000002,1.1945481166666663,0.0,0.0,0.0
135.0,0.3,0.1,3.6666666666666665,3.6666666666666665,0.0,0.0,1.7372219916666665,0.0
136.0,0.3,0.1,3.841666666666664,1.5371677400000001,2.304498926666664,0.0,0.0,0.0
137.0,0.3,0.1,4.016666666666667,0.97293129,3.0437353766666666,0.0,0.0,0.0
138.0,0.3,0.1,4.683333333333334,0.439239355,4.244093978333333,0.0,0.0,0.0
139.0,0.3,0.1,5.18333333333333,0.5649367700000033,4.618396563333326,0.0,0.47810532000000333,0.0
140.0,0.3,0.1,5.55,0.0,5.55,0.0,0.0,0.0
141.0,0.3,0.1,5.35,0.0,5.35,0.0,0.0,0.0
142.0,0.3,0.1,3.85,0.0,3.85,0.0,0.0,0.0
143.0,0.3,0.1,3.35,0.0,3.35,0.0,0.0,0.0
144.0,0.3,0.1,6.080729166666667,0.0,6.080729166666667,0.0,0.0,2.5000000000000004
145.0,0.3,0.1,3.9999999999999964,2.5000000000000004,1.499999999999996,0.0,2.5000000000000004,0.0
146.0,0.3,0.1,5.75,0.0,5.75,0.0,0.0,1.9999999999999996
147.0,0.3,0.1,6.0,0.0,6.0,0.0,0.0,2.5000000000000004
148.0,0.3,0.1,3.13333333333333,0.0,3.13333333333333,0.0,0.0,0.0
149.0,0.3,0.1,5.9,2.5000380500000006,3.3999619499999993,0.0,2.5000000000000004,0.0
150.0,0.3,0.1,3.7666666666666666,0.139443065,3.6272236016666666,0.0,0.0,0.0
151.0,0.3,0.1,3.8499999999999965,0.53640097,3.3135990299999967,0.0,0.0,0.0
152.0,0.3,0.1,4.35,3.1612262899999997,1.18877371,0.0,1.9999999999999996,0.0
153.0,0.3,0.1,4.833333333333333,1.7047975800000001,3.128535753333333,0.0,0.0,0.0
154.0,0.3,0.1,4.58333333333333,2.298660645,2.2846726883333304,0.0,0.0,0.0
155.0,0.3,0.1,3.9166666666666665,2.56988113,1.3467855366666663,0.0,0.0,0.0
156.0,0.3,0.1,3.6666666666666665,2.61138758,1.0552790866666664,0.0,0.0,0.0
157.0,0.3,0.1,3.6666666666666643,2.5537795149999996,1.1128871516666647,0.0,0.0,0.0
158.0,0.3,0.1,3.6666666666666665,2.4721185500000002,1.1945481166666663,0.0,0.0,0.0
159.0,0.3,0.1,3.6666666666666665,1.929444675,1.7372219916666665,0.0,0.0,0.0
160.0,0.3,0.1,3.841666666666664,1.5371677400000001,2.304498926666664,0.0,0.0,0.0
161.0,0.3,0.1,4.016666666666667,0.97293129,3.0437353766666666,0.0,0.0,0.0
162.0,0.3,0.1,4.683333333333334,0.439239355,4.244093978333333,0.0,0.0,0.0
163.0,0.3,0.1,7.68333333333333,0.08683145,7.59650188333333,0.0,0.0,2.5000000000000004
164.0,0.3,0.1,5.55,0.0,5.55,0.0,0.0,0.0
165.0,0.3,0.1,5.35,2.5000000000000004,2.849999999999999,0.0,2.5000000000000004,0.0
166.0,0.3,0.1,3.85,0.0,3.85,0.0,0.0,0.0
167.0,0.3,0.1,3.35,0.0,3.35,0.0,0.0,0.0
168.0,0.3,0.1,3.0,2.5000000000000004,0.49999999999999956,0.0,2.5000000000000004,0.0
