Hour,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen,pOutdoorTemp,pSetPoint
188,4.55,0,0,3,20
189,4.35,0,0,3,20
190,3.85,0,0,4,20
191,3.35,0,0,3,20
192,3,0,0,4,20
193,3,0,0,3,20
194,2.75,0,0,3,20
195,2.5,0,0,3,20
196,2.3,0,0,3,20
197,2.4,0.00000761,0,3,20
198,2.6,0.027888613,0,3,20
199,2.85,0.107280194,0,5,20
200,3.35,0.232245258,0,6,20
201,4,0.340959516,0,7,20
202,3.75,0.459732129,0,7,20
203,3.25,0.513976226,0,7,20
204,3,0.522277516,0,7,20
205,3,0.510755903,0,7,20
206,3,0.49442371,0,7,20
207,3,0.385888935,0,7,20
208,3.175,0.307433548,0,7,20
209,3.35,0.194586258,0,6,20
210,3.85,0.087847871,0,7,20
211,4.35,0.01736629,0,6,20
212,4.55,0,0,6,20
213,4.35,0,0,6,20
214,3.85,0,0,3,20
215,3.35,0,0,5,20
216,3,0,0,6,20
217,3,0,0,6,20
218,2.75,0,0,5,20
219,2.5,0,0,4,20
220,2.3,0,0,3,20
221,2.4,0.00000761,0,3,20
222,2.6,0.027888613,0,3,20
223,2.85,0.107280194,0,3,20
224,3.35,0.232245258,0,3,20
225,4,0.340959516,0,4,20
226,3.75,0.459732129,0,4,20
227,3.25,0.513976226,0,2,20
228,3,0.522277516,0,1,20
229,3,0.510755903,0,2,20
230,3,0.49442371,0,2,20
231,3,0.385888935,0,1,20
232,3.175,0.307433548,0,0,20
233,3.35,0.194586258,0,-1,20
234,3.85,0.087847871,0,-1,20
235,4.35,0.01736629,0,-2,20
236,4.55,0,0,-2,20
237,4.35,0,0,-3,20
238,3.85,0,0,-4,20
239,3.35,0,0,-4,20
240,3,0,0,-3,20
241,3,0,0,-2,20
242,2.75,0,0,-3,20
243,2.5,0,0,-4,20
244,2.3,0,0,-5,20
245,2.4,0.00000761,0,-6,20
246,2.6,0.027888613,0,-6,20
247,2.85,0.107280194,0,-6,20
248,3.35,0.232245258,0,-6,20
249,4,0.340959516,0,-5,20
250,3.75,0.459732129,0,-4,20
251,3.25,0.513976226,0,-3,20
252,3,0.522277516,0,-2,20
253,3,0.510755903,0,-2,20
254,3,0.49442371,0,-1,20
255,3,0.385888935,0,-2,20
256,3.175,0.307433548,0,-2,20
257,3.35,0.194586258,0,-3,20
258,3.85,0.087847871,0,-3,20
259,4.35,0.01736629,0,-3,20
260,4.55,0,0,-4,20
261,4.35,0,0,-4,20
262,3.85,0,0,-4,20
263,3.35,0,0,-5,20
264,3,0,0,-5,20
265,3,0,0,-6,20
266,2.75,0,0,-6,20
267,2.5,0,0,-6,20
268,2.3,0,0,-6,20
269,2.4,0.00000761,0,-6,20
270,2.6,0.027888613,0,-6,20
271,2.85,0.107280194,0,-6,20
272,3.35,0.232245258,0,-6,20
273,4,0.340959516,0,-4,20
274,3.75,0.459732129,0,-3,20
275,3.25,0.513976226,0,-2,20
276,3,0.522277516,0,-1,20
277,3,0.510755903,0,0,20
278,3,0.49442371,0,1,20
279,3,0.385888935,0,1,20
280,3.175,0.307433548,0,0,20
281,3.35,0.194586258,0,-1,20
282,3.85,0.087847871,0,-1,20
283,4.35,0.01736629,0,-2,20
284,4.55,0,0,-2,20
285,4.35,0,0,-3,20
286,3.85,0,0,-3,20
287,3.35,0,0,-3,20
288,3,0,0,-4,20
289,3,0,0,-4,20
290,2.75,0,0,-5,20
291,2.5,0,0,-5,20
292,2.3,0,0,-6,20
293,2.4,0.00000761,0,-6,20
294,2.6,0.027888613,0,-6,20
295,2.85,0.107280194,0,-6,20
296,3.35,0.232245258,0,-5,20
297,4,0.340959516,0,-3,20
298,3.75,0.459732129,0,-2,20
299,3.25,0.513976226,0,-1,20
300,3,0.522277516,0,1,20
301,3,0.510755903,0,2,20
302,3,0.49442371,0,2,20
303,3,0.385888935,0,2,20
304,3.175,0.307433548,0,1,20
305,3.35,0.194586258,0,1,20
306,3.85,0.087847871,0,0,20
307,4.35,0.01736629,0,-1,20
308,4.55,0,0,-2,20
309,4.35,0,0,-3,20
310,3.85,0,0,-4,20
311,3.35,0,0,-5,20
312,3,0,0,-6,20
313,3,0,0,-6,20
314,2.75,0,0,-7,20
315,2.5,0,0,-7,20
316,2.3,0,0,-7,20
317,2.4,0.00000761,0,-8,20
318,2.6,0.027888613,0,-8,20
319,2.85,0.107280194,0,-8,20
320,3.35,0.232245258,0,-8,20
321,4,0.340959516,0,-7,20
322,3.75,0.459732129,0,-6,20
323,3.25,0.513976226,0,-6,20
324,3,0.522277516,0,-4,20
325,3,0.510755903,0,-5,20
326,3,0.49442371,0,-4,20
327,3,0.385888935,0,-4,20
328,3.175,0.307433548,0,-4,20
329,3.35,0.194586258,0,-5,20
330,3.85,0.087847871,0,-6,20
331,4.35,0.01736629,0,-6,20
332,4.55,0,0,-6,20
333,4.35,0,0,-7,20
334,3.85,0,0,-7,20
335,3.35,0,0,-6,20
336,3,0,0,-7,20
337,3,0,0,-6,20
338,2.75,0,0,-6,20
339,2.5,0,0,-6,20
340,2.3,0,0,-7,20
341,2.4,0.00000761,0,-7,20
342,2.6,0.027888613,0,-8,20
343,2.85,0.107280194,0,-7,20
344,3.35,0.232245258,0,-7,20
345,4,0.340959516,0,-7,20
346,3.75,0.459732129,0,-5,20
347,3.25,0.513976226,0,-4,20
348,3,0.522277516,0,-3,20
349,3,0.510755903,0,-4,20
350,3,0.49442371,0,-3,20
351,3,0.385888935,0,-3,20
352,3.175,0.307433548,0,-4,20
353,3.35,0.194586258,0,-4,20
354,3.85,0.087847871,0,-5,20
355,4.35,0.01736629,0,-6,20
356,4.55,0,0,-6,20
357,4.35,0,0,-6,20
358,3.85,0,0,-7,20
359,3.35,0,0,-7,20
360,3,0,0,-7,20
361,3,0,0,-7,20
362,2.75,0,0,-8,20
363,2.5,0,0,-8,20
364,2.3,0,0,-8,20
365,2.4,0.00000761,0,-8,20
366,2.6,0.027888613,0,-8,20
367,2.85,0.107280194,0,-8,20
368,3.35,0.232245258,0,-8,20
369,4,0.340959516,0,-7,20
370,3.75,0.459732129,0,-6,20
371,3.25,0.513976226,0,-5,20
372,3,0.522277516,0,-4,20
373,3,0.510755903,0,-3,20
374,3,0.49442371,0,-3,20
375,3,0.385888935,0,-3,20
376,3.175,0.307433548,0,-3,20
377,3.35,0.194586258,0,-4,20
378,3.85,0.087847871,0,-4,20
379,4.35,0.01736629,0,-4,20
380,4.55,0,0,-4,20
381,4.35,0,0,-4,20
382,3.85,0,0,-4,20
383,3.35,0,0,-5,20
384,3,0,0,-6,20
385,3,0,0,-6,20
386,2.75,0,0,-6,20
387,2.5,0,0,-6,20
388,2.3,0,0,-7,20
389,2.4,0.00000761,0,-7,20
390,2.6,0.027888613,0,-7,20
391,2.85,0.107280194,0,-8,20
392,3.35,0.232245258,0,-8,20
393,4,0.340959516,0,-7,20
394,3.75,0.459732129,0,-6,20
395,3.25,0.513976226,0,-4,20
396,3,0.522277516,0,-4,20
397,3,0.510755903,0,-3,20
398,3,0.49442371,0,-2,20
399,3,0.385888935,0,-2,20
400,3.175,0.307433548,0,-3,20
401,3.35,0.194586258,0,-4,20
402,3.85,0.087847871,0,-6,20
403,4.35,0.01736629,0,-7,20
404,4.55,0,0,-9,20
405,4.35,0,0,-10,20
406,3.85,0,0,-11,20
407,3.35,0,0,-12,20
408,3,0,0,-13,20
409,3,0,0,-14,20
410,2.75,0,0,-14,20
411,2.5,0,0,-15,20
412,2.3,0,0,-15,20
413,2.4,0.00000761,0,-16,20
414,2.6,0.027888613,0,-17,20
415,2.85,0.107280194,0,-17,20
416,3.35,0.232245258,0,-17,20
417,4,0.340959516,0,-16,20
418,3.75,0.459732129,0,-14,20
419,3.25,0.513976226,0,-13,20
420,3,0.522277516,0,-11,20
421,3,0.510755903,0,-10,20
422,3,0.49442371,0,-9,20
423,3,0.385888935,0,-8,20
424,3.175,0.307433548,0,-8,20
425,3.35,0.194586258,0,-9,20
426,3.85,0.087847871,0,-11,20
427,4.35,0.01736629,0,-11,20
428,4.55,0,0,-11,20
429,4.35,0,0,-11,20
430,3.85,0,0,-11,20
431,3.35,0,0,-11,20
432,3,0,0,-11,20
433,3,0,0,-11,20
434,2.75,0,0,-11,20
435,2.5,0,0,-11,20
436,2.3,0,0,-12,20
437,2.4,0.00000761,0,-12,20
438,2.6,0.027888613,0,-11,20
439,2.85,0.107280194,0,-11,20
440,3.35,0.232245258,0,-10,20
441,4,0.340959516,0,-9,20
442,3.75,0.459732129,0,-7,20
443,3.25,0.513976226,0,-7,20
444,3,0.522277516,0,-6,20
445,3,0.510755903,0,-6,20
446,3,0.49442371,0,-4,20
447,3,0.385888935,0,-4,20
448,3.175,0.307433548,0,-4,20
449,3.35,0.194586258,0,-5,20
450,3.85,0.087847871,0,-6,20
451,4.35,0.01736629,0,-5,20
452,4.55,0,0,-6,20
453,4.35,0,0,-6,20
454,3.85,0,0,-6,20
455,3.35,0,0,-6,20
456,3,0,0,-5,20
457,3,0,0,-4,20
458,2.75,0,0,-5,20
459,2.5,0,0,-4.5,20
460,2.3,0,0,-4,20
461,2.4,0.00000761,0,-4,20
462,2.6,0.027888613,0,-3.9,20
463,2.85,0.107280194,0,-4,20
464,3.35,0.232245258,0,-4,20
465,4,0.340959516,0,-3,20
466,3.75,0.459732129,0,-4,20
467,3.25,0.513976226,0,-3,20
468,3,0.522277516,0,-3,20
469,3,0.510755903,0,-3,20
470,3,0.49442371,0,-3,20
471,3,0.385888935,0,-4,20
472,3.175,0.307433548,0,-5,20
473,3.35,0.194586258,0,-6,20
474,3.85,0.087847871,0,-6,20
475,4.35,0.01736629,0,-7,20
476,4.55,0,0,-7,20
477,4.35,0,0,-8,20
478,3.85,0,0,-8,20
479,3.35,0,0,-9,20
480,3,0,0,-9,20
481,3,0,0,-9,20
482,2.75,0,0,-9,20
483,2.5,0,0,-10,20
484,2.3,0,0,-11,20
485,2.4,0.00000761,0,-11,20
486,2.6,0.027888613,0,-11,20
487,2.85,0.107280194,0,-11,20
488,3.35,0.232245258,0,-11,20
489,4,0.340959516,0,-9,20
490,3.75,0.459732129,0,-8,20
491,3.25,0.513976226,0,-8,20
492,3,0.522277516,0,-7,20
493,3,0.510755903,0,-6,20
494,3,0.49442371,0,-6,20
495,3,0.385888935,0,-6,20
496,3.175,0.307433548,0,-7,20
497,3.35,0.194586258,0,-7,20
498,3.85,0.087847871,0,-8,20
499,4.35,0.01736629,0,-8,20
500,4.55,0,0,-8,20
501,4.35,0,0,-8,20
502,3.85,0,0,-9,20
503,3.35,0,0,-11,20
504,3,0,0,-11,20
505,3,0,0,-12,20
