name,value
Tint_k1,-0.234023999
Tint_k2,1.193115274
Tair_k,-0.010813564
Tair_k1,0.005785707
Tair_k2,0.016053571
Qrad_k,-0.000012447
Qrad_k1,-6.00531E-05
Qrad_k2,8.15484E-05
Qconv_k,-0.00000659
Qconv_k1,-0.000164644
Qconv_k2,0.000206059
Qwindow_k,-6.89418E-05
Qwindow_k1,0.00000482
Qwindow_k2,6.88194E-05
Qsurface_k,0.00000199
Qsurface_k1,-1.53088E-06
Qsurface_k2,3.42E-08
Tground_k,0.009961004
Tground_k1,0.009961004
Tground_k2,0.009961004
