pMonth,pWeek,pDay,pHour,pBuy_Energy,pSell_Energy,pBuy_NetworkConnection,pBuy_FirmCapacity,pSell_FirmCapacity,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen,pOutdoorTemp,pSetPoint,pSell_PrimaryUpCap,pSell_PrimaryDownCap,pSell_PrimaryEnergy,pBuy_PrimaryEnergy,pD2CPrimaryUp,pD2CPrimaryDown,pWH_use,pMonthly_Network_Cost,pHP_Month,pAC_Month,,,true NYISO lmp
1,1,2,41,0.3725,0,0.05,0,0,1.155948151,0.194586258,0,-2,20,1.66225,1.66225,0,0,0,0,0,,,,,,0.33245
1,1,2,42,0.3841,0,0.05,0,0,1.6300657,0.087847871,0,-2,20,1.72065,1.72065,0,0,0,0,-0.25,,,,,,0.34413
1,1,2,43,0.3029,0,0.05,0,0,1.929091883,0.01736629,0,-2,20,1.3145,1.3145,0,0,0,0,-0.75,,,,,,0.2629
1,1,2,44,0.2763,0,0.05,0,0,1.920909364,0,0,-2,20,1.1813,1.1813,0,0,0,0,-1.25,,,,,,0.23626
1,1,2,45,0.2898,0,0.05,0,0,1.771053202,0,0,-3,20,1.24915,1.24915,0,0,0,0,-0.5,,,,,,0.24983
1,1,2,46,0.3044,0,0.05,0,0,1.605316809,0,0,-3,18,1.3218,1.3218,0,0,0,0,0,,,,,,0.26436
1,1,2,47,0.1752,0,0.05,0,0,1.293373742,0,0,-3,18,0.67595,0.67595,0,0,0,0,0,,,,,,0.13519
1,1,2,48,0.1398,0,0.05,0,0,0.985602467,0,0,-3,18,0.49905,0.49905,0,0,0,0,0,,,,,,0.09981
1,1,3,49,0.1701,0,0.05,0,0,0.679603538,0,0,-3,18,0.65065,0.65065,0,0,0,0,0,,,,,,0.13013
1,1,3,50,0.1968,0,0.05,0,0,0.55528963,0,0,-3,18,0.78415,0.78415,0,0,0,0,0,,,,,,0.15683
1,1,3,51,0.2067,0,0.05,0,0,0.50723171,0,0,-3,18,0.8336,0.8336,0,0,0,0,0,,,,,,0.16672
1,1,3,52,0.2443,0,0.05,0,0,0.494926073,0,0,-3,18,1.0214,1.0214,0,0,0,0,0,,,,,,0.20428
1,1,3,53,0.2272,0,0.05,0,0,0.491704696,0.00000761,0,-3,20,0.9361,0.9361,0,0,0,0,0,,,,,,0.18722
1,1,3,54,0.1708,0,0.05,0,0,0.545170476,0.027888613,0,-2,20,0.65405,0.65405,0,0,0,0,0,,,,,,0.13081
1,1,3,55,0.2049,0,0.05,0,0,0.761138161,0.107280194,0,-2,20,0.8247,0.8247,0,0,0,0,-0.25,,,,,,0.16494
1,1,3,56,0.2397,0,0.05,0,0,1.05426809,0.232245258,0,-2,20,0.9983,0.9983,0,0,0,0,-0.5,,,,,,0.19966
1,1,3,57,0.4068,0,0.05,0,0,1.025724443,0.340959516,0,-1,17,1.83375,1.83375,0,0,0,0,-0.25,,,,,,0.36675
1,1,3,58,0.7386,0,0.05,0,0,0.855001485,0.459732129,0,-1,17,3.4932,3.4932,0,0,0,0,0,,,,,,0.69864
1,1,3,59,0.9689,0,0.05,0,0,0.846771932,0.513976226,0,-1,17,4.64435,4.64435,0,0,0,0,0,,,,,,0.92887
1,1,3,60,0.5727,0,0.05,0,0,0.863123401,0.522277516,0,-1,17,2.6634,2.6634,0,0,0,0,0,,,,,,0.53268
1,1,3,61,0.2220,0,0.05,0,0,0.847889702,0.510755903,0,-1,17,0.9098,0.9098,0,0,0,0,0,,,,,,0.18196
1,1,3,62,0.2064,0,0.05,0,0,0.825919768,0.49442371,0,-1,17,0.83185,0.83185,0,0,0,0,0,,,,,,0.16637
1,1,3,63,0.2035,0,0.05,0,0,0.828777896,0.385888935,0,-1,17,0.81755,0.81755,0,0,0,0,0,,,,,,0.16351
1,1,3,64,0.2047,0,0.05,0,0,0.899129955,0.307433548,0,-1,17,0.82355,0.82355,0,0,0,0,0,,,,,,0.16471
1,1,3,65,0.2399,0,0.05,0,0,1.155948151,0.194586258,0,-1,20,0.99945,0.99945,0,0,0,0,0,,,,,,0.19989
1,1,3,66,0.2504,0,0.05,0,0,1.6300657,0.087847871,0,-1,20,1.05175,1.05175,0,0,0,0,-0.25,,,,,,0.21035
1,1,3,67,0.2210,0,0.05,0,0,1.929091883,0.01736629,0,-1,20,0.905,0.905,0,0,0,0,-0.75,,,,,,0.181
