Hour,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen
1,3,0,0
2,2.75,0,0
3,2.5,0,0
4,2.3,0,0
5,2.4,7.61E-06,0
6,2.6,0.027888613,0
7,2.85,0.107280194,0
8,3.35,0.232245258,0
9,4,0.340959516,0
10,3.75,0.459732129,0
11,3.25,0.513976226,0
12,3,0.522277516,0
13,3,0.510755903,0
14,3,0.49442371,0
15,3,0.385888935,0
16,3.175,0.307433548,0
17,3.35,0.194586258,0
18,3.85,0.087847871,0
19,4.35,0.01736629,0
20,4.55,0,0
21,4.35,0,0
22,3.85,0,0
23,3.35,0,0
24,3,0,0
